Artist Name,Real Name,City,Nicknames,Year,Groups,Discography,Artist Id
ice cube,oshea jackson,los angeles,,1986,"n w a, da lench mob, westside connection, c i a","amerikkkas most wanted, death certificate, the predator, lethal injection, war peace vol 1 the war disc, war peace vol 2 the peace disc, laugh now, cry later, raw footage, i am the west, everythangs corrupt",36
iggy azalea,amethyst amelia kelly,los angeles,,2011,,"the new classic, in my defense, end of an era",37
inspectah deck,jason richard hunter,new york city,"rollie fingers, fifth brother, rebel ins",1992,"wu tang clan, czarface","cynthias son, manifesto, the resident patient ii, the resident patient, the movement, uncontrolled substance",38
j cole,jermaine lamarr cole,raleigh,"therapist, hollywood cole, kill edward",2007,,"cole world the sideline story, born sinner, 2014 forest hills drive, 4 your eyez only, kod, the fall off 2020",39
jay z,shawn corey carter,new york city,"the carter administration, jigga, hova, el presidente",1988,the carters,"reasonable doubt, in my lifetime, vol 1, vol 2 hard knock life, vol 3 life and times of s carter, the dynasty roc la familia, the blueprint, the blueprint2 the gift the curse, the black album, kingdom come, american gangster, the blueprint 3, magna carta holy grail, 4 44",40
jeezy,jay wayne jenkins,atlanta,"lil j, jeezy, the snowman",1997,"boyz n da hood, usda","lets get it thug motivation 101, the inspiration, the recession, tm 103 hustlerz ambition, seen it all the autobiography, church in these streets, trap or die 3, pressure, tm104 the legend of the snowman, the recession 2",41
jid,destin choice route,atlanta,,2010,spillage village,"the never story, dicaprio 2",42
juice wrld,jarad anthony higgins,chicago,juicethekidd,2015,,"goodbye good riddance, wrld on drugs with future, death race for love, legends never die, the outsiders",43
kanye west,kanye omari west,chicago,"yeezy, ye",1996,"crs, kids see ghosts, sunday service choir","the college dropout, late registration, graduation, 808s heartbreak, my beautiful dark twisted fantasy, watch the throne with jay z, yeezus, the life of pablo, ye, jesus is king, donda with child",44
kardinal offishall,jason drew harrow,ontario,,1994,artists against bullying,"eye i, quest for fire firestarter, vol 1, fire and glory, not 4 sale, kardi gras, vol 1 the clash, pick your poison",45
kendrick lamar,kendrick lamar duckworth,compton,"k dot, kung fu kenny, cornrow kenny",2004,black hippy,"section 80, good kid, m a a d city, to pimp a butterfly, damn",46
kid cudi,scott ramon seguro mescudi,cleveland,,2003,"kids see ghosts, wzrd","man on the moon the end of day, man on the moon ii the legend of mr rager, indicud, satellite flight the journey to mother moon, speedin bullet 2 heaven, passion, pain demon slayin, entergalactic",47
kodak black,dieuson octave,miami,"bill kahan blanco, j black",2009,,"painting pictures, dying to live",48
kool g rap,nathaniel thomas wilson,new york city,"kool g rap, kool genius of rap, giancana",1986,"juice crew, click of respect, ","return of the don, riches royalty respect, the giancana story, roots of evil, 4 5 6",49
krs one,lawrence parker,new york city,"krs one, techa, the blastmaster, big joe krash, the temple of hip hop",1986,"boogie down productions, group therapy","return of the boom bap, krs one, i got next, the sneak attack, spiritual minded, kristyles, keep right, life, adventures in emceein, maximum strength, the bdp album, never forget, now hear this, the world is mind, street light first edition",50
lauryn hill,lauryn noelle hill,newark,l boogie,1988,fugees,the miseducation of lauryn hill,51
lecrae,lecrae devaughn moore,houston,,2004,116 clique,"real talk, after the music stops, rebel, rehab, rehab the overdose, gravity, anomaly, all things work together, let the trap say amen with zaytoven, restoration",52
lil peep,gustav elijah ahr,new york city,,2014,schemaposse,"come over when youre sober pt 1, come over when youre sober pt 2",53
lil wayne,dwayne michael carter jr,new orleans,"tunechi, weezy f baby",1995,"cash money millionaires, hot boys, sqad up","tha block is hot, lights out, 500 degreez, tha carter, tha carter ii, tha carter iii, rebirth, i am not a human being, tha carter iv, i am not a human being ii, free weezy album, tha carter v, funeral, wayne",54
ll cool j,james todd smith,new york city,,1984,,"radio, bigger and deffer, walking with a panther, mama said knock you out, 14 shots to the dome, mr smith, phenomenon, g o a t, 10, the definition, todd smith, exit 13, authentic",55
ludacris,christopher brian bridges,atlanta,"chris lova lova, luda",1998,,"incognegro, back for the first time, word of mouf, chicken n beer, the red light district, release therapy, theater of the mind, battle of the sexes, ludaversal",56
lupe fiasco,wasalu muhammad jaco,chicago,double j,2000,"all city chess club, crs, japanese cartoon","lupe fiascos food liquor, lupe fiascos the cool, lasers, food liquor ii the great american rap album pt 1, tetsuo youth, drogas light, drogas wave",57
masta ace,duval clear,new york city,"ase one, eca retsam",1988,"emc, crooklyn dodgers, masta ace incorporated, juice crew","take a look around, slaughtahouse, sittin on chrome, disposable arts, a long hot summer, ma doom son of yvonne, the falling season",58
masta killa,elgin turner,new york city,"jamel irief, noodles, high chief",1992,wu tang clan,"no said date, made in brooklyn, selling my soul, loyalty is royalty",59
method man,clifford smith jr,new york city,johnny blaze,1988,wu tang clan,"tical, tical 2000 judgement day, tical 0 the prequel, 4 21 the day after, the meth lab, meth lab season 2 the lithium",60
mf doom,daniel dumile,new york city,"zev love x, king geedorah, king ghidra, viktor vaughn, metal fingers, metal face, jj doom, king dumile, doom",1988,"kmd, gorillaz, monsta island czars, madvillain","born like this, mm food, venomous villain, vaudeville villain, take me to your leader, operation doomsday",61
missy elliott,melissa arnette elliott,norfolk,misdemeanor,1991,,"supa dupa fly, da real world, miss e so addictive, under construction, this is not a test, the cookbook",62
nas,nasir bin olu dara jones,new york city,"nas escobar, nasty nas",1991,the firm,"illmatic, it was written, i am, nastradamus, stillmatic, gods son, streets disciple, hip hop is dead, untitled, life is good, nasir, kings disease",63
nicki minaj,onika tanya maraj,new york city,,2004,,"pink friday, pink friday roman reloaded, the pinkprint, queen",64
obie trice,obie trice iii,detroit,,2000,d 12,"cheers, second rounds on me, bottoms up, the hangover, the fifth",65
pitbull,armando christian perez,miami,"mr 305, mr worldwide",2001,,"m i a m i, el mariel, the boatlift, pitbull starring in rebelution, armando, planet pit, global warming, globalization, dale, climate change, libertad 548",66
pusha t,terrence levarr thornton,virginia beach,terrar,1993,"clipse, re up gang","my name is my name, king push darkest before dawn the prelude, daytona",67
queen latifah,dana elaine owens,new york city,,1989,"l a mass choir, native tongues, ","all hail the queen, nature of a sista, black reign, order in the court, the dana owens album, travlin light, persona",68
r a the rugged man,r a thorburn,new york city,,1992,,"die, rugged man, die, legends never die, all my heroes are dead",69
raekwon,corey woods,new york city,"lex diamonds, raekwon the chef, sha raider",1991,wu tang clan,"only built 4 cuban linx, immobilarity, the lex diamond story, only built 4 cuban linx pt ii, shaolin vs wu tang, fly international luxurious art, the wild, only built 4 cuban linx pt iii",70
redman,reginald noble,new york city,"doc, funk doctor spock, doctor dogg, red rum, red mon, reddy 2 rock, reddy 2 rap, redident evil, blue man, funk fugitive, funk fastic, reggie",1990,"method man redman, def squad","whut thee album, dare iz a darkside, muddy waters, docs da name, malpractice, red gone wild thee album, reggie, mudface",71
rick ross,william leonard roberts ii,miami,"rozay, the boss, renzel, teflon",2000,,"port of miami, trilla, deeper than rap, teflon don, god forgives, i dont, mastermind, hood billionaire, black market, rather you than me, port of miami 2, richer than ive ever been",72
royce da 59,ryan daniel montgomery,detroit,"nickel nine, nickel, royce 59",1995,"bad meets evil, slaughterhouse, prhyme","rock city, death is certain, independents day, street hop, success is certain, layers, book of ryan, the allegory",73
rza,robert fitzgerald diggs,new york city,"rza, prince rakeem, bobby steels, ruler zig zag zig allahprince, delight, the abbott, bobby digital, bobby dynamite, rzarector, bobby boulders",1991,"wu tang clan, banks steelz, gravediggaz","bobby digital in stereo, digital bullet, birth of a prince, digi snacks",74
sage francis,paul william francis,providence,"paul francis, xaul zan",1996,"non prophets, art official intelligence","this was supposed to be fun, season 1, copper gone, life, human the death dance, a healthy distrust, hope, personal journals",75
scarface,brad terrence jordan,houston,"mr scarface, face, dj akshen, facemob, creepy",1988,geto boys,"mr scarface is back, the world is yours, the diary, the untouchable, my homies, the last of a dying breed, the fix, my homies part 2, made, emeritus, deeply rooted",76
shai linne,shai linne,philidelphia,,2002,116 clique,"jesus kids, still jesus, lyrical theology, pt 2 doxology, lyrical theology, pt 1 theology, the attributes of god, storiez, the atonement, the solus christus project",77
slick rick,richard martin lloyd walters,new york city,"rick the ruler, mc ricky d",1984,,"the great adventures of slick rick, the rulers back, behind bars, the art of storytelling",78
snoop dogg,calvin cordozar broadus jr,los angeles,"dj snoopadelic, niggarachi, snoop dogg, snoop dogg, snoopzilla, nemo hoes",1992,"213, 7 days of funk, tha eastsidaz, qdt","doggystyle, tha doggfather, da game is to be sold, not to be told, no limit top dogg, tha last meal, paid tha cost to be da boss, r g rhythm gangsta the masterpiece, tha blue carpet treatment, ego trippin, malice n wonderland, doggumentary, reincarnated, bush, coolaid, neva left, bible of love, i wanna thank me",79
t i,clifford joseph harris jr,atlanta,"tip, t i p",1999,"bankroll mafia, psc","im serious, trap muzik, urban legend, king, t i vs t i p, paper trail, no mercy, trouble man heavy is the head, paperwork, dime trap, the l i b r a",80
talib kweli,talib kweli greene,new york city,,1997,"black star, idle warship, reflection eternal, soulquarians","quality, the beautiful struggle, eardrum, gutter rainbows, prisoner of conscious, gravitas, fuck the money, radio silence",81
tech n9ne,aaron dontez yates,kansas city,,1991,the regime,"enterfear, n9na, planet, the storm, special effects, something else, all 6s and 7s, k o d, killer, everready the religion, absolute power, anghellic, the worst, the calm before the storm",82
the game,jayceon terrell taylor,los angeles,,2002,g unit,"the documentary, doctors advocate, lax, the r e d album, jesus piece, the documentary 2, the documentary 2 5, 1992, born 2 rap",83
the notorious b i g,christopher george latore wallace,new york city,"biggie smalls, frank white",1992,,"ready to die, life after death, born again, duets the final chapter",84
travis scott,jacques berman webster ii,houston,"la flame, cactus jack",2012,"huncho jack, ","rodeo, birds in the trap sing mcknight, astroworld, utopia",85
tyler the creator,tyler gregory okonma,los angeles,"ace, gap tooth t, dj stank daddy, tyler haley, wolf haley",2007,"odd future, i smell panties","goblin, wolf, cherry bomb, flower boy, igor",86
u god,lamont jody hawkins,new york city,"golden arms, universal god",1991,wu tang clan,"golden arms redemption, mr xcitement, dopium, the keynote speaker, venom",87
vanilla ice,robert matthew van winkle,miami,,1985,,"to the extreme, mind blowin, hard to swallow, bi polar, platinum underground, w t f wisdom, tenacity and focus",88
vinnie paz,vincenzo luvineri,philadelphia,,1993,"army of the pharoahs, heavy metal kings, jedi mind tricks","season of the assassin, god of the serengeti, the cornerstone of the corner store, the pain collector, as above so below",89
wiz khalifa,cameron jibril thomaz,pittsburgh,,2005,"show and prove, deal or no deal, rolling papers, o n i f c, blacc hollywood, rolling papers 2",,90
xzibit,alvin nathaniel joiner,los angeles,"exhibit a, x to the z, wow alvin",1994,"likwit crew, serial killers, strong arm steady","at the speed of life, 40 dayz 40 nightz, restless, man vs machine, weapons of mass destruction, full circle, napalm",91
